# Program:featureCounts v1.6.2; Command:"featureCounts" "-T" "16" "-s" "2" "-p" "-O" "-F" "SAF" "-a" "../pause_region_analysis/annotations/for_ratio/gene_body_regions.saf" "-o" "../pause_region_analysis/counts/genebody_counts_250down_tes.antisense.txt" "../tmp_forcounts//1_DW1_S10_L006.sorted.bam" "../tmp_forcounts//2_EW1_S11_L006.sorted.bam" "../tmp_forcounts//3_2D1_S12_L006.sorted.bam" "../tmp_forcounts//4_2E1_S13_L006.sorted.bam" "../tmp_forcounts//5_DW2_S14_L006.sorted.bam" "../tmp_forcounts//6_EW2_S15_L006.sorted.bam" "../tmp_forcounts//7_2D2_S16_L006.sorted.bam" "../tmp_forcounts//8_2E2_S17_L006.sorted.bam" "../tmp_forcounts//SOF1_DMSO_U2OS_PRO_1_S3_L002.sorted.bam" "../tmp_forcounts//SOF1_DMSO_U2OS_PRO_2_S7_L002.sorted.bam" "../tmp_forcounts//SOF1_E2_U2OS_PRO_1_S4_L002.sorted.bam" "../tmp_forcounts//SOF1_E2_U2OS_PRO_2_S8_L002.sorted.bam" "../tmp_forcounts//U2OS_DMSO_DBM_1_S22_L007.sorted.bam" "../tmp_forcounts//U2OS_DMSO_DBM_2_S26_L007.sorted.bam" "../tmp_forcounts//U2OS_DMSO_SOF3_1_S20_L007.sorted.bam" "../tmp_forcounts//U2OS_DMSO_SOF3_2_S24_L007.sorted.bam" "../tmp_forcounts//U2OS_E2_DBM_1_S23_L007.sorted.bam" "../tmp_forcounts//U2OS_E2_DBM_2_S27_L007.sorted.bam" "../tmp_forcounts//U2OS_E2_SOF3_1_S21_L007.sorted.bam" "../tmp_forcounts//U2OS_E2_SOF3_2_S25_L007.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	../tmp_forcounts//1_DW1_S10_L006.sorted.bam	../tmp_forcounts//2_EW1_S11_L006.sorted.bam	../tmp_forcounts//3_2D1_S12_L006.sorted.bam	../tmp_forcounts//4_2E1_S13_L006.sorted.bam	../tmp_forcounts//5_DW2_S14_L006.sorted.bam	../tmp_forcounts//6_EW2_S15_L006.sorted.bam	../tmp_forcounts//7_2D2_S16_L006.sorted.bam	../tmp_forcounts//8_2E2_S17_L006.sorted.bam	../tmp_forcounts//SOF1_DMSO_U2OS_PRO_1_S3_L002.sorted.bam	../tmp_forcounts//SOF1_DMSO_U2OS_PRO_2_S7_L002.sorted.bam	../tmp_forcounts//SOF1_E2_U2OS_PRO_1_S4_L002.sorted.bam	../tmp_forcounts//SOF1_E2_U2OS_PRO_2_S8_L002.sorted.bam	../tmp_forcounts//U2OS_DMSO_DBM_1_S22_L007.sorted.bam	../tmp_forcounts//U2OS_DMSO_DBM_2_S26_L007.sorted.bam	../tmp_forcounts//U2OS_DMSO_SOF3_1_S20_L007.sorted.bam	../tmp_forcounts//U2OS_DMSO_SOF3_2_S24_L007.sorted.bam	../tmp_forcounts//U2OS_E2_DBM_1_S23_L007.sorted.bam	../tmp_forcounts//U2OS_E2_DBM_2_S27_L007.sorted.bam	../tmp_forcounts//U2OS_E2_SOF3_1_S21_L007.sorted.bam	../tmp_forcounts//U2OS_E2_SOF3_2_S25_L007.sorted.bam
NM_004753.7	chr1	12567909	12617960	-	50052	90	303	138	568	134	287	97	332	64	37	72	66	70	45	124	98	40	43	456	435
NM_201628.3	chr1	14598934	15118043	+	519110	3994	4252	3791	3519	4433	3991	2290	2298	2648	2838	2690	2201	4573	3144	6537	5554	3359	2729	6566	6580
NM_015164.4	chr1	15684569	15734769	+	50201	1385	1417	1357	1377	1484	1371	802	968	677	864	804	628	1182	826	1219	1109	860	835	1369	1381
NM_030812.3	chr1	17755582	17827063	+	71482	23	48	97	67	36	41	51	55	24	25	21	2	32	17	35	19	16	26	40	28
NM_003748.4	chr1	18871429	18902305	-	30877	272	279	396	431	337	295	230	249	237	249	237	130	356	229	346	329	220	156	348	384
NM_014589.3	chr1	19920008	19923367	-	3360	0	0	0	1	3	0	1	0	0	0	0	0	1	0	3	1	0	0	1	3
NM_001391906.1	chr1	20806478	21176647	-	370170	7198	7401	6860	6558	7787	7569	4240	4188	2517	2670	2879	2165	6178	4708	7335	6138	4848	4439	7670	7733
NM_001009999.3	chr1	23019717	23083689	+	63973	1127	1194	1968	2058	1374	1208	1256	1262	476	530	475	435	1170	785	1384	1326	785	791	1529	1585
NM_001276252.2	chr1	27234881	27308636	+	73756	650	598	770	731	757	617	502	421	332	405	387	332	770	554	664	531	496	444	621	675
NM_001099439.2	chr1	37715975	37764870	-	48896	231	237	319	240	230	248	143	144	102	127	163	60	237	175	319	357	179	145	434	370
NM_017646.6	chr1	39838109	39883254	-	45146	1400	1411	2060	2246	1407	1479	1179	1420	622	632	683	464	1461	1005	1682	1411	926	924	1568	1685
NM_020883.2	chr1	45016398	45206355	-	189958	438	466	602	490	509	447	315	286	164	111	185	177	396	297	389	317	293	217	421	387
NM_005764.4	chr1	47183581	47189786	-	6206	2	7	9	5	7	6	1	5	2	2	1	1	5	1	0	0	0	2	1	4
NM_001011547.3	chr1	48222965	48248638	+	25674	63	31	19	18	37	25	10	21	3	0	4	7	9	7	13	5	5	8	14	14
NM_032785.4	chr1	48532853	50023704	-	1490852	2293	2447	3550	3376	2701	2396	2073	2052	843	746	960	793	1528	1110	1651	1454	1114	966	1921	1695
NM_001981.3	chr1	51354262	51519016	-	164755	2562	2610	3262	3328	2893	2720	2055	1998	967	1039	982	853	2611	1896	2000	1723	1866	1552	2163	2146
NM_001009881.3	chr1	52423274	52552842	-	129569	2937	3025	4271	3990	3275	2982	2563	2604	951	927	1131	959	2593	1840	2936	2217	1923	1663	2805	2859
NM_001350145.3	chr1	61742729	62163915	+	421187	2678	2903	3899	3495	3148	2979	2378	2225	1169	1139	1287	959	2849	2064	3182	2773	2034	1718	3155	3144
NM_005012.4	chr1	63774266	64181498	+	407233	9752	8981	19420	16543	11088	9045	11718	10164	3317	3561	3677	3196	6819	4973	8839	7418	4884	4568	9150	9353
NM_002600.4	chr1	65793144	66374574	+	581431	1115	1029	1468	1473	1257	1035	877	953	155	192	167	172	442	272	624	526	279	266	804	832
NM_024911.7	chr1	68125359	68232273	-	106915	3139	3124	4307	3935	3525	3172	2569	2348	1476	1648	1406	1239	3310	2301	4387	3585	2379	2155	4140	3954
NM_015978.3	chr1	74235636	74544428	+	308793	158	132	251	234	188	127	132	110	66	58	47	66	167	97	113	92	105	139	67	112
NM_152996.4	chr1	76074995	76634603	+	559609	796	763	1327	1032	901	783	810	658	283	344	289	207	644	482	1061	911	550	480	1021	991
NM_015534.6	chr1	77562415	77682408	-	119994	4544	4957	6438	6268	5108	5184	3953	3898	1606	1719	1638	1485	4247	3078	4726	3832	3229	2751	4587	4582
NM_006820.4	chr1	78620697	78646145	+	25449	60	48	235	168	79	61	157	110	8	39	19	4	68	40	84	59	35	21	69	91
NM_153259.4	chr1	84925582	84996863	-	71282	409	440	661	530	530	493	427	386	173	88	171	138	350	224	379	321	240	261	342	394
NM_152890.7	chr1	85729232	86156522	-	427291	258	318	309	320	312	300	176	179	47	80	70	40	186	149	239	179	126	125	338	300
NM_012262.4	chr1	86914884	87109982	+	195099	2230	2274	2926	3081	2396	2358	1861	1721	654	845	869	739	1835	1429	2129	1755	1473	1295	2289	2197
NM_000110.4	chr1	97077742	97920784	-	843043	3068	2991	5122	4635	3530	3237	3026	2829	715	718	872	618	2252	1606	1719	1402	1738	1493	1751	1750
NM_006090.5	chr1	111140472	111185104	+	44633	1171	1277	1611	1804	1312	1366	1029	1048	484	566	513	534	1315	991	1245	1096	896	806	1340	1294
NM_000701.8	chr1	116373493	116404774	+	31282	1722	2132	2166	2492	1948	2114	1347	1515	643	650	869	651	1420	1045	1383	1267	1064	838	1692	1718
NM_014455.4	chr1	145738867	145823845	-	84979	2400	2303	3101	2761	2668	2486	2059	1783	858	871	864	768	2068	1579	2145	1940	1620	1381	2076	1919
NM_001395426.1	chr1	148844677	149033016	+	188340	478	553	706	772	507	569	458	513	117	99	94	115	267	193	239	269	231	175	272	243
NM_020205.4	chr1	149937811	150010476	-	72666	2055	2095	2864	2669	2310	2251	1772	1773	893	886	1025	815	2125	1441	1913	1623	1499	1402	2056	2086
NM_207308.3	chr1	153992689	154154823	-	162135	348	385	472	556	439	451	304	434	157	202	216	191	328	219	355	367	215	220	390	321
NM_001371720.2	chr1	155185823	155192659	-	6837	135	90	226	214	111	94	107	129	61	41	62	39	54	55	58	65	41	69	64	75
NM_007221.4	chr1	156213256	156240042	+	26787	1706	1752	2308	2087	1830	1661	1277	1372	866	842	914	650	1490	905	1522	1244	1073	930	1504	1493
NM_175866.5	chr1	162498067	162529631	+	31565	834	866	1169	1209	969	967	824	762	319	356	378	344	908	629	1009	812	661	708	1042	1148
NM_002585.4	chr1	164559433	164851831	+	292399	2780	2635	4357	3666	2910	2549	2767	2450	1333	1412	1419	1161	2912	1956	3281	2793	2055	1853	3066	3078
NM_000696.4	chr1	165662215	165698312	-	36098	638	749	850	810	776	728	563	616	379	370	303	357	698	486	587	499	557	486	621	580
NM_020423.7	chr1	169849630	169893646	-	44017	1059	1169	1646	1611	1167	1137	977	923	520	433	522	405	1156	806	1204	895	827	801	1208	1132
NM_015569.5	chr1	171841747	172412717	+	570971	2462	2392	3549	2862	2666	2455	2043	1582	1194	1203	1338	986	3059	2121	3143	2422	2273	2070	3012	2975
NM_022093.2	chr1	175068082	175148075	+	79994	57	62	148	98	95	67	69	61	28	46	25	26	58	36	7	16	61	35	16	16
NM_021165.4	chr1	177171207	177282422	+	111216	101	85	138	83	117	74	63	48	21	18	16	5	28	21	110	73	37	28	77	90
NM_170692.4	chr1	178094353	178478850	+	384498	5320	5778	8665	8132	6077	5987	5613	4850	2232	2259	2527	1931	6224	4570	5172	4512	4468	4277	4900	5287
NM_003101.6	chr1	179294046	179358680	+	64635	955	982	1509	1348	1130	1029	974	848	366	417	475	325	832	655	1000	874	631	601	927	960
NM_032360.4	chr1	180288229	180502327	-	214099	3294	3483	4819	4777	3773	3763	3135	3043	1155	1147	1253	1072	3114	2140	3329	2951	2251	1923	3549	3558
NM_001137669.2	chr1	182450395	182560597	+	110203	20	15	22	21	24	15	13	14	1	4	2	3	5	7	2	5	0	4	4	9
NM_001375584.1	chr1	183472748	183554191	+	81444	1764	2157	2612	3121	2028	2234	1669	1964	681	679	795	699	1812	1252	1908	1572	1298	1161	2113	2184
NM_018136.5	chr1	197084126	197146419	-	62294	2150	2175	3957	3720	2300	2357	2445	2137	731	636	785	674	2010	1477	2676	2213	1418	1311	2875	2911
NM_133494.3	chr1	198157247	198322420	+	165174	4761	4654	6525	5681	5495	4825	4003	3529	1624	1483	1640	1351	3921	2956	4192	3562	3035	2780	4102	3810
NM_002481.4	chr1	202348948	202592702	+	243755	1478	1699	2000	2027	1655	1726	1393	1254	796	750	772	665	1755	1095	1705	1442	1258	1160	1960	1769
NM_001377334.1	chr1	204422632	204494555	-	71924	566	563	1077	910	613	548	694	521	379	343	348	322	724	505	543	440	400	401	436	542
NM_212502.3	chr1	205504918	205532790	+	27873	973	837	1410	1205	1079	827	814	845	518	610	517	491	824	508	829	725	457	432	737	759
NM_182663.4	chr1	206507780	206589448	+	81669	722	786	1197	995	877	731	745	651	318	383	441	320	521	346	685	601	377	353	910	901
NM_000651.6	chr1	207496406	207641765	+	145360	8	9	13	21	27	11	18	11	0	0	2	0	1	3	4	0	2	1	6	1
NM_172362.3	chr1	210678313	211133898	-	455586	476	426	629	583	555	512	311	338	329	309	310	241	575	379	226	220	384	383	241	260
NM_014873.3	chr1	211743456	211830513	-	87058	999	991	1174	1079	936	977	829	643	314	323	373	304	855	656	900	716	704	634	1003	849
NM_014053.4	chr1	212858524	212899363	+	40840	804	834	1074	1147	905	810	651	630	291	347	348	272	650	531	703	616	519	460	700	730
NM_206933.4	chr1	215622890	216423198	-	800309	101	79	168	156	130	71	74	72	4	6	23	7	44	22	26	32	24	22	18	15
NM_012414.4	chr1	220148292	220272203	-	123912	1931	2084	2540	2484	2129	2048	1585	1602	791	791	861	688	1871	1334	1905	1659	1289	1204	2061	2155
NM_017982.4	chr1	223220830	223363926	-	143097	663	529	946	719	794	513	606	514	204	188	239	179	468	282	1267	999	292	317	1141	1196
NM_001379403.1	chr1	224385145	224434547	-	49403	2239	2312	2404	2425	2462	2407	1538	1548	672	607	828	841	1769	1233	1790	1436	1331	1183	1982	2083
NM_014777.4	chr1	229626496	229660200	+	33705	804	997	1085	1278	904	1037	722	848	344	381	409	329	704	468	811	734	566	419	909	985
NM_007357.3	chr1	230642730	230693982	+	51253	784	897	1100	1163	930	974	671	725	385	432	443	397	837	602	774	713	609	499	851	879
NM_018662.3	chr1	231627039	232041272	+	414234	3190	3767	4118	4264	3574	3839	2561	2540	1262	1287	1373	1071	2787	2022	2491	1987	2056	1888	2675	2829
NM_020066.5	chr1	240092132	240475187	+	383056	127	155	234	193	187	99	121	110	35	95	42	53	77	63	178	158	64	86	133	102
NM_001364886.1	chr1	240775513	241356955	-	581443	1876	1844	2648	2396	2096	1863	1677	1616	483	471	444	340	1172	807	1061	797	818	796	977	915
NM_001372062.1	chr1	242082985	242524447	-	441463	2284	2473	2290	1988	2419	2594	1361	1224	1447	1436	1294	1028	3085	2236	3856	3092	2082	2029	3506	3533
NM_018012.4	chr1	245155234	245709432	+	554199	983	1057	1598	1277	1089	1009	921	848	423	431	396	419	743	573	656	625	564	493	651	744
NM_001167740.2	chr1	245749346	246507029	-	757684	5716	6229	7673	6751	6497	6088	4936	4575	2171	2331	2388	2003	5226	3700	5424	4397	3971	3542	5822	5419
NM_001013355.2	chr1	248508322	248527337	+	19016	1	6	4	8	1	0	5	2	1	0	0	0	0	1	0	0	0	0	0	0
NM_001130045.2	chr1	1174129	1197936	+	23808	19	21	21	31	20	9	3	10	2	0	5	4	3	7	7	1	5	2	9	3
NM_153339.3	chr1	1308846	1311677	+	2832	37	42	70	77	43	45	49	50	31	35	36	23	31	17	32	37	27	27	41	44
NM_022834.5	chr1	1435939	1442882	+	6944	18	11	37	46	19	17	23	24	5	2	8	6	2	1	11	5	5	0	39	29
NM_014188.3	chr1	1541672	1574613	-	32942	3164	3345	3780	3772	3331	3300	2493	2711	1416	1418	1557	1309	2301	1600	2442	1993	1801	1536	2742	2788
NM_024011.4	chr1	1702378	1724107	-	21730	479	460	469	431	419	395	361	339	154	176	183	137	318	230	273	270	184	208	303	355
NM_002074.5	chr1	1785285	1890837	-	105553	5215	5370	6261	6370	5654	5397	3971	4299	2493	2779	2739	2409	4894	3625	5300	4563	3627	3187	5567	6044
NM_001304360.2	chr1	1921956	2003536	-	81581	53	56	142	142	72	52	85	86	8	9	6	14	14	20	34	21	9	17	33	29
NM_024848.3	chr1	2321252	2391304	-	70053	2191	2075	3064	2855	2195	2034	1844	1970	996	982	986	803	1373	1039	1787	1523	980	766	1775	1813
NM_014638.4	chr1	2476538	2505532	+	28995	37	23	21	23	36	16	5	21	10	1	6	4	6	3	20	15	8	2	21	39
NM_033467.4	chr1	2590638	2632766	-	42129	27	20	46	49	35	24	41	28	9	6	3	3	2	1	2	0	2	1	2	7
NM_001242672.3	chr1	2636985	2801443	-	164459	500	521	745	692	519	486	392	429	332	382	349	265	434	306	561	475	297	303	572	568
NM_001409.4	chr1	3487950	3611258	-	123309	737	715	1136	1006	817	627	698	743	330	355	345	219	487	373	518	492	356	257	583	654
NM_005427.4	chr1	3652765	3736201	+	83437	648	601	788	707	689	550	511	515	248	306	284	189	418	231	609	539	263	181	654	647
NM_018836.4	chr1	4654858	4792534	+	137677	53	39	100	72	53	33	55	29	10	7	5	8	30	20	16	17	13	15	17	9
NM_015102.5	chr1	5862810	5992175	-	129366	1180	1204	1874	1726	1325	1176	1220	1101	461	624	580	452	979	691	693	609	696	598	714	736
NM_015557.3	chr1	6101786	6180071	-	78286	735	712	1159	923	798	736	650	709	368	355	401	312	636	474	400	385	431	350	452	452
NM_024654.5	chr1	6521346	6554263	-	32918	873	1015	1124	1199	1076	1005	737	827	598	439	506	432	920	604	971	819	680	595	968	956
NM_018198.4	chr1	6634169	6701566	-	67398	1442	1644	1987	1867	1622	1579	1300	1216	656	645	772	510	1369	885	1471	1179	922	811	1446	1341
NM_003039.3	chr1	9035105	9069385	-	34281	9	9	15	19	16	7	11	5	0	2	5	0	4	4	8	3	3	4	5	6
NM_025106.4	chr1	9293143	9369532	+	76390	3662	6910	4817	7181	3914	6572	3054	5113	2120	2037	3404	2506	3341	2342	1939	1558	2516	2019	3587	4021
NM_032315.3	chr1	9539714	9585173	+	45460	1013	1244	1213	1450	1267	1220	843	917	402	434	549	382	940	632	901	766	750	586	1013	1057
NM_005026.5	chr1	9651980	9729114	+	77135	942	883	1237	1111	1020	858	719	796	299	325	364	270	587	397	419	346	370	391	449	504
NM_022787.4	chr1	9943724	9985498	+	41775	627	712	885	988	730	739	551	661	325	350	344	276	702	487	664	568	510	421	720	795
NM_001105562.3	chr1	10033207	10181239	+	148033	3580	3730	4882	4978	4267	3985	3101	3206	2073	2029	2104	1681	4071	2924	3738	3010	2900	2441	3830	3746
NM_001365951.3	chr1	10210819	10381603	+	170785	2661	2576	3393	2850	2867	2466	1934	1768	855	1073	1087	788	2250	1667	2345	1925	1709	1452	2484	2443
NM_001079843.3	chr1	10636603	10796396	-	159794	539	497	774	666	558	511	479	404	329	278	343	260	503	347	523	510	365	308	602	671
NM_004958.4	chr1	11106534	11262301	-	155768	2635	2832	3543	3674	3011	2853	2310	2315	1251	1513	1389	1208	2652	1898	3070	2547	1779	1695	3086	3157
NM_018438.6	chr1	11664449	11674354	+	9906	27	45	100	94	60	48	50	50	45	55	44	41	39	35	61	57	33	23	72	47
NM_005957.5	chr1	11785722	11805714	-	19993	1253	1285	1689	1646	1382	1241	1000	1211	659	639	699	509	1078	643	934	850	644	614	1077	1062
NM_001066.3	chr1	12167240	12209220	+	41981	50	73	96	83	50	38	66	39	5	12	11	5	14	16	57	67	14	7	87	82
NM_015378.4	chr1	12230279	12512047	+	281769	4088	4427	5581	5357	4569	4404	3480	3386	1982	1982	1912	1634	3848	2815	3936	3330	2899	2464	4209	4220
NM_001099790.5	chr1	13368430	13371697	-	3268	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001010847.2	chr1	13474972	13513753	-	38782	20	81	46	238	47	67	20	96	11	10	40	39	14	5	14	12	9	18	95	109
NM_001393986.1	chr1	13700437	13825079	+	124643	3771	3855	4625	4370	4068	3757	2698	2930	1600	1607	1686	1462	3168	2195	3195	2748	2166	2049	3325	3481
NM_001136218.2	chr1	15153996	15220478	+	66483	742	656	829	720	807	652	495	498	269	234	307	268	506	349	615	528	349	307	605	687
NM_001391957.1	chr1	15247472	15398328	+	150857	346	406	567	481	458	400	270	296	112	164	166	109	253	172	210	208	202	162	265	221
NM_033440.3	chr1	15456981	15472091	+	15111	2	2	8	5	2	2	2	2	0	2	1	0	0	0	0	0	0	0	0	3
NM_015001.3	chr1	15847956	15940456	+	92501	1562	1556	2134	1812	1828	1580	1277	1206	612	712	664	504	1341	967	1470	1210	897	862	1438	1434
NM_018994.3	chr1	16246839	16352230	-	105392	1284	1363	1433	1462	1410	1437	930	957	658	790	693	520	1529	1110	1648	1501	1006	897	1754	1723
NM_001114600.3	chr1	16367491	16398145	+	30655	1534	1707	1596	1542	1699	1666	972	1055	763	696	944	627	1481	943	1619	1536	1089	1008	1807	1798
NM_003000.3	chr1	17018721	17053782	-	35062	811	875	856	1042	751	859	649	728	393	397	444	437	869	629	902	783	662	601	1014	1183
NM_018715.4	chr1	17406759	17439427	-	32669	2979	2802	3380	3078	3194	2831	2157	2207	1357	1368	1406	1129	2263	1616	2957	2543	1521	1377	3073	3196
NM_018125.4	chr1	17539947	17697869	+	157923	2312	2322	2789	2472	2511	2221	1648	1658	1504	1532	1619	1203	2256	1643	2292	1890	1668	1455	2430	2394
NM_032880.5	chr1	18108047	18378483	+	270437	130	116	199	179	116	86	101	123	56	29	42	24	65	59	61	63	49	31	101	89
NM_152375.3	chr1	18481179	18485974	+	4796	47	30	56	38	33	35	50	31	21	41	8	6	31	13	134	112	12	10	114	149
NM_001135254.2	chr1	18631095	18748866	+	117772	886	916	1172	952	965	843	640	607	494	506	540	329	896	639	757	738	570	550	839	832
NM_020765.3	chr1	19074509	19210016	-	135508	4279	4583	4624	4248	4600	4446	2891	2845	2430	2244	2482	1974	4514	3324	4657	3922	3346	2712	4782	5116
NM_004930.5	chr1	19338774	19485289	-	146516	4483	5346	4885	4987	5014	4960	3264	3363	2672	2693	2923	2275	4772	3244	4883	4009	3342	3039	5194	5383
NM_181719.7	chr1	19682239	19799666	-	117428	1107	1140	1590	1490	1134	1126	887	1061	600	527	630	391	897	711	916	863	717	616	941	983
NM_001367969.2	chr1	20163054	20186268	-	23215	12	12	14	12	14	23	3	7	3	9	4	18	12	3	1	4	7	7	3	8
NM_001039500.3	chr1	20291124	20359518	+	68395	100	85	111	81	85	104	51	56	33	49	32	34	64	42	34	51	33	48	45	72
NM_001122819.3	chr1	20664013	20717757	-	53745	806	805	940	929	735	730	515	587	413	310	424	271	600	449	457	397	419	345	544	481
NM_001397.3	chr1	21217249	21290213	-	72965	1441	1559	1792	1747	1512	1518	1041	1104	761	783	923	668	1347	956	2029	1639	1032	871	2160	2351
NM_002885.4	chr1	21596220	21669107	-	72888	545	617	697	599	625	513	438	385	311	241	351	258	483	308	450	385	318	284	449	510
